playername,team,maps_played,kills,deaths,hs_pct,adr,kd_ratio,impact,rating
MERL,,5.0,20.2,16.16,,0.2,1.25,1.46,1.31
kRyTouS,,6.0,21.17,15.12,,0.2,1.4,1.44,1.41
Kinatie,,9.0,21.56,14.37,,0.3,1.5,1.43,1.48
donk,,84.0,21.67,15.93,,0.2,1.36,1.42,1.38
ZywOo,,99.0,21.72,13.49,,0.3,1.61,1.39,1.54
bezymecc,,16.0,20.5,15.19,,0.2,1.35,1.37,1.36
Natre,,8.0,21.62,17.3,,0.2,1.25,1.35,1.28
somehxw,,8.0,22.75,18.35,,0.1,1.24,1.33,1.27
yukitoro,,6.0,21.83,12.77,,0.3,1.71,1.33,1.6
ped,,9.0,20.67,15.66,,0.2,1.32,1.33,1.32
Arctic,,13.0,20.38,16.05,,0.1,1.27,1.32,1.28
Wign,,16.0,23.88,19.41,,0.2,1.23,1.3,1.25
obsward,,31.0,21.52,16.18,,0.2,1.33,1.3,1.32
tired73,,22.0,21.32,14.91,,0.2,1.43,1.3,1.39
Minor,,13.0,21.23,13.44,,0.3,1.58,1.29,1.49
Python,,12.0,21.33,17.34,,0.1,1.23,1.28,1.25
ZJFkingofking,,11.0,21.45,17.44,,0.1,1.23,1.28,1.25
Pepo,,7.0,23.29,18.05,,0.2,1.29,1.27,1.28
versa,,6.0,21.33,20.51,,0.0,1.04,1.27,1.11
PwnAlone,,11.0,21.0,16.54,,0.2,1.27,1.26,1.27
m0NESY,,107.0,22.74,16.48,,0.2,1.38,1.26,1.34
m1kketye,,10.0,22.3,21.44,,0.0,1.04,1.26,1.11
mantuu,,8.0,19.12,14.71,,0.1,1.3,1.26,1.29
cookie,,6.0,21.33,15.46,,0.2,1.38,1.26,1.34
FenomeN,,138.0,21.35,14.52,,0.2,1.47,1.26,1.41
deko,,144.0,21.38,15.49,,0.2,1.38,1.25,1.34
MahaR,,15.0,19.53,16.01,,0.1,1.22,1.25,1.23
slaxejezzz,,225.0,22.07,18.39,,0.1,1.2,1.25,1.21
insani,,111.0,21.32,17.92,,0.1,1.19,1.25,1.21
asap,,95.0,21.03,16.82,,0.1,1.25,1.25,1.25
AEROj,,25.0,22.04,17.49,,0.2,1.26,1.25,1.26
drac,,8.0,20.62,15.5,,0.2,1.33,1.24,1.3
blameF,,118.0,21.23,15.61,,0.2,1.36,1.24,1.32
sliimey,,110.0,21.54,17.23,,0.1,1.25,1.24,1.25
z4KR,,70.0,22.06,15.87,,0.2,1.39,1.24,1.34
xseveN,,7.0,23.86,21.3,,0.1,1.12,1.23,1.15
Vexite,,57.0,21.07,17.56,,0.1,1.2,1.23,1.21
Fl1pper,,7.0,21.43,19.31,,0.1,1.11,1.23,1.15
cruzN,,6.0,20.17,16.95,,0.1,1.19,1.23,1.2
chelleos,,92.0,20.86,16.3,,0.1,1.28,1.23,1.26
wh1temink,,8.0,22.75,20.13,,0.1,1.13,1.22,1.16
KmZ,,48.0,22.79,21.91,,0.0,1.04,1.22,1.09
Ph1NNN,,15.0,22.8,20.73,,0.1,1.1,1.22,1.14
Koxa,,9.0,19.11,16.06,,0.1,1.19,1.22,1.2
kl1m,,111.0,21.32,15.68,,0.2,1.36,1.22,1.32
SIXER,,17.0,20.82,16.14,,0.1,1.29,1.22,1.27
fineshine52,,11.0,22.27,17.4,,0.1,1.28,1.22,1.26
sen1ar,,6.0,21.17,16.28,,0.2,1.3,1.22,1.28
jks,,57.0,21.07,16.99,,0.1,1.24,1.22,1.23
H0NeST,,101.0,21.25,18.48,,0.1,1.15,1.22,1.17
Quality,,47.0,22.17,18.02,,0.1,1.23,1.21,1.22
Bloody,,45.0,21.6,18.78,,0.1,1.15,1.21,1.17
Ryxxo,,7.0,22.29,20.08,,0.1,1.11,1.21,1.14
Ltz,,142.0,21.37,18.11,,0.1,1.18,1.21,1.19
HSB,,10.0,20.3,16.78,,0.1,1.21,1.21,1.21
Magnojez,,151.0,21.37,19.08,,0.1,1.12,1.21,1.15
f1R,,24.0,22.17,18.48,,0.1,1.2,1.21,1.2
JamYoung,,97.0,20.99,18.25,,0.1,1.15,1.21,1.17
tomaszin,,95.0,21.41,18.3,,0.1,1.17,1.2,1.18
Wolffe,,67.0,20.79,17.18,,0.1,1.21,1.2,1.21
